ahi		\mathrm{AHI}
ai		\mathrm{AI}
bei		\mathrm{BEI}
bi		\mathrm{BI}
bis		\mathrm{BI}_{\mathrm{s}}
bi1s		\mathrm{BI}_{1\mathrm{s}}
bi2s		\mathrm{BI}_{2\mathrm{s}}
bi3s		\mathrm{BI}_{3\mathrm{s}}
bi4s		\mathrm{BI}_{4\mathrm{s}}
bi5s		\mathrm{BI}_{5\mathrm{s}}
bi6s		\mathrm{BI}_{6\mathrm{s}}
bistg		\mathrm{BI}_{\mathrm{stg}}
bsusybi 	\mathrm{BSUSYBI}
bsusybif 	\mathrm{BSUSYBI}_\mathrm{f}
bsusybil 	\mathrm{BSUSYBI}_\mathrm{l}
lfi		\mathrm{LFI}
lfi23		\mathrm{LFI}_{23}
lfi1		\mathrm{LFI}_{1}
lfi2		\mathrm{LFI}_{2}
lfi3		\mathrm{LFI}_{3}
lfi4		\mathrm{LFI}_{4}
hi		\mathrm{HI}
si		\mathrm{SI}
simc		\mathrm{SI}_\mathrm{mc}
sfi		\mathrm{SFI}
sfis		\mathrm{SFI}_\mathrm{s}
sfil		\mathrm{SFI}_\mathrm{l}
sfi1		\mathrm{SFI}_1
sfi2		\mathrm{SFI}_2
sfi2l		\mathrm{SFI}_{2\mathrm{l}}
sfi3		\mathrm{SFI}_3
sfi3s		\mathrm{SFI}_{3\mathrm{s}}
sfi3l		\mathrm{SFI}_{3\mathrm{l}}
sfi4		\mathrm{SFI}_4
sfi4s		\mathrm{SFI}_{4\mathrm{s}}
sfi4l		\mathrm{SFI}_{4\mathrm{l}}
rmi1		\mathrm{RMI}_1
rmi1l		\mathrm{RMI}_{1\mathrm{l}}
rmi2		\mathrm{RMI}_2
rmi2l		\mathrm{RMI}_{2\mathrm{l}}
rmi3		\mathrm{RMI}_3
rmi3l		\mathrm{RMI}_{3\mathrm{l}}
rmi4		\mathrm{RMI}_4
rmi4l		\mathrm{RMI}_{4\mathrm{l}}
hbi		\mathrm{HBI}
hbio		\mathrm{HBI}_\mathrm{o}
hbip		\mathrm{HBI}_\mathrm{p}
shi		\mathrm{SHI}
rcpi		\mathrm{RCPI}
ccsi1		\mathrm{CCSI}_1
ccsi2		\mathrm{CCSI}_2
ccsi3		\mathrm{CCSI}_3
cnai		\mathrm{CNAI}
cnbi		\mathrm{CNBI}
cnci		\mathrm{CNCI}
cndi		\mathrm{CNDI}
csi		\mathrm{CSI}
cwi		\mathrm{CWI}
cwil		\mathrm{CWI}_\mathrm{l}
cwif		\mathrm{CWI}_\mathrm{f}
dei		\mathrm{DEI}_1
dei1		\mathrm{DEI}_1
di		\mathrm{DI}
di1		\mathrm{DI}_1
dis		\mathrm{DI}_\mathrm{s}
dil		\mathrm{DI}_\mathrm{l}
dsi		\mathrm{DSI}
dsi2		\mathrm{DSI}_2
dsio		\mathrm{DSI}_\mathrm{o}
dwi		\mathrm{DWI}
dwi25		\mathrm{DWI}_{25}
esi		\mathrm{ESI}
esio		\mathrm{ESI}_\mathrm{o}
esil		\mathrm{ESI}_\mathrm{l}
esisqrt2	\mathrm{ESI}_\sqrt{2}
esisqrt23	\mathrm{ESI}_\sqrt{2/3}
esi8		\mathrm{ESI}_\sqrt{8}
esireh		\mathrm{ESI}
fi		\mathrm{FI}
fi0		\mathrm{FI}_0
fi1		\mathrm{FI}_1
fi2		\mathrm{FI}_2
gdwi		\mathrm{GDWI}
gdwi2s		\mathrm{GDWI}_\mathrm{2s}
gdwi2l		\mathrm{GDWI}_\mathrm{2l}
gdwi3s		\mathrm{GDWI}_\mathrm{3s}
gdwi3l		\mathrm{GDWI}_\mathrm{3l}
gdwi4s		\mathrm{GDWI}_\mathrm{4s}
gdwi4l		\mathrm{GDWI}_\mathrm{4l}
gdwis		\mathrm{GDWI}_\mathrm{s}
gdwil		\mathrm{GDWI}_\mathrm{l}
mlfi		\mathrm{MLFI}
gmlfi		\mathrm{GMLFI}
gmlfi2313	\mathrm{GMLFI}_{2/3,1/3}
gmlfi2343	\mathrm{GMLFI}_{2/3,4/3}
gmlfi11		\mathrm{GMLFI}_{1,1}
gmlfi12		\mathrm{GMLFI}_{1,2}
gmlfi13		\mathrm{GMLFI}_{1,3}
gmlfi21		\mathrm{GMLFI}_{2,1}
gmlfi22		\mathrm{GMLFI}_{2,2}
gmlfi23		\mathrm{GMLFI}_{2,3}
gmlfi31		\mathrm{GMLFI}_{3,1}
gmlfi32		\mathrm{GMLFI}_{3,2}
gmlfi33		\mathrm{GMLFI}_{3,3}
mssmi		\mathrm{MSSMI}
mssmis		\mathrm{MSSMI}_\mathrm{s}
mssmip		\mathrm{MSSMI}_\mathrm{p}
mssmio		\mathrm{MSSMI}_\mathrm{o}
gmssmi		\mathrm{GMSSMI}
ripi		\mathrm{RIPI}
ripip		\mathrm{RIPI}_\mathrm{p}
ripio		\mathrm{RIPI}_\mathrm{o}
ripiS		\mathrm{RIPI}_\mathrm{S}
gripi		\mathrm{GRIPI}
gripiS		\mathrm{GRIPI}_\mathrm{S}
hf1i		\mathrm{HF1I}
hf2i		\mathrm{HF2I}
hni1		\mathrm{HNI1}
hni1f		\mathrm{HNI1}_{\mathrm{f}}
hni2		\mathrm{HNI2}
hni2f		\mathrm{HNI2}_{\mathrm{f}}
